date,year,optimizer,paper_url,code_url,summary,source_title
2026-07-17,2026,Muon for Agentic RL,https://arxiv.org/abs/2607.16169,,"This exploratory single-seed study compares AdamW with vanilla Muon on Qwen2.5-0.5B-Instruct in sparse-reward ALFWorld agentic RL under GRPO, GiGPO, and GraphGPO. Applying Muon only to hidden matrices raises GiGPO final-window success from 0.290 to 0.546, while GraphGPO at 1e-5 improves normalized validation AUC from 0.399 to 0.556 and reaches 0.5/0.75 success 30/60 updates earlier; the benefit depends strongly on the advantage estimator and learning rate, and validation is limited to one model, task, and seed without direct update-spectrum or gradient-SNR measurements.",When Does Muon Help Agentic Reinforcement Learning?
2026-07-16,2026,Muse,https://arxiv.org/abs/2607.14536,,"Muse makes a hidden design choice in Muon explicit: the Frobenius-isometric matrix representation supplied to the polar map. It unifies native, nearest-square, skinny, and vector views, proves short-side-dependent spectral-descent and stochastic stationarity bounds, and links early dissipation to a Marchenko–Pastur nuclear/Frobenius shape factor. In three-seed LLaMA2-130M/600M runs, balanced reshaping nearly matches native Muon (within 0.003 validation loss at 600M), while shrinking the short side approaches normalized momentum.",Muse: Representation Geometry of Muon Beyond Normalized Momentum
2026-07-14,2026,Muon Matrix Factorization Reassessment,https://arxiv.org/abs/2607.13246,,"Through equal learning-rate sweeps across low-rank factorization, matrix completion, nonnegative matrix factorization, tensor-train recovery, conditioning, and spectrum shapes, this study finds no universal Muon advantage. Tuned AdamW or GD beat Muon by orders of magnitude on standard factorization, whereas Muon remains strongest on NMF and some severely ill-conditioned completion cases. Optimizer-optimal learning rates differ by 1.5–3.1 decades, making default-rate comparisons unreliable; evidence is limited to controlled, small synthetic recovery problems.",Reassessing Muon for Matrix Factorization
2026-07-07,2026,MatrixFSDP,https://arxiv.org/abs/2607.05895,,"MatrixFSDP changes ZeRO-3 placement rather than approximating Muon: each 2D weight has one owner rank, so normal backward reduction delivers its complete gradient for a local Newton-Schulz step, while balanced planning, segment-wise P2P collectives, and checkpoint resharding preserve FSDP semantics. On 64 A100s it matched full-matrix Muon with ZeRO-3 memory and cut eight-node optimizer-step latency by 54.6x, producing up to 2.15x end-to-end speedup.",MatrixFSDP: communication-free matrix optimizers under ZeRO-3 parameter sharding
2026-07-01,2026,Muon Residual Connection,https://arxiv.org/abs/2607.01124,https://github.com/huanghao-sss/muon_interpretation,"The paper offers a mechanistic, not architectural, analogy between Muon's orthogonalized update and a residual connection: weaker immediate gradient alignment can preserve representations that downstream layers can use more easily. In controlled two-layer linear models, SGD fitted the local factor faster, but Muon completed end-to-end learning in fewer total steps under every tested joint or alternating schedule because the downstream factor adapted faster; the evidence remains limited to linear settings.",Muon as a Residual Connection
2026-06-29,2026,Muon Balanced Matrix Factorization,https://arxiv.org/abs/2606.30509,,"For exact-polar, momentum-free Muon on matrix factorization, the analysis shows that early alignment is followed by nearly uniform additive growth of singular values, so smaller target modes finish first instead of traversing gradient descent's condition-number-limited saddle staircase. It identifies a Muon-specific conserved square-root Gram imbalance, proves balanced solutions from vanishing initialization, and validates alignment scaling and a two-stage learning-rate schedule, while noting that large fixed steps oscillate near the optimum.",Muon learns balanced solutions in matrix factorization without slow saddle-to-saddle dynamics
2026-06-29,2026,MuonSSM,https://arxiv.org/abs/2606.30461,https://github.com/t-khanusa/MuonSSM/tree/main,"MuonSSM moves Muon's orthogonalization idea from parameter optimization into recurrent memory, combining a momentum state with one-step Newton-Schulz-normalized low-rank writes while retaining a block-affine recurrence that supports associative scans. Theory supplies an additional gradient path, bounded singular amplification, and rank enrichment, and controlled 170M-token-model, vision, and time-series comparisons report stronger long-context retrieval and robustness; ablations attribute higher momentum rank and validation accuracy to Newton-Schulz rather than simple Frobenius normalization.",MuonSSM: Orthogonalizing State Space Models for Sequence Modeling
2026-06-28,2026,Dead-Direction Conditioners,https://arxiv.org/abs/2606.29176,,"Dead-Direction Conditioners precondition only the horizontal, function-changing component of an update while reducing each vertical gauge-orbit direction to a scalar, covering common shift, rescaling, normalization, and attention-rotation symmetries. The construction is exactly gauge-equivariant for Adam and composes with a compatible Muon orthogonalizer; experiments found DDCMuon grokked 10 of 11 deep-model seeds where plain Muon grokked none, with additional language-model and vision gains.",Dead-Direction Conditioners: Gauge-Equivariant Preconditioning for Deep Networks
2026-06-26,2026,Aurora,https://arxiv.org/abs/2606.27715,https://github.com/tilde-research/aurora-release,"Aurora traces neuron death in tall MLP matrices to persistently unequal row leverage in Muon's polar update, then replaces post-hoc row normalization with an iterative projection toward both semi-orthogonality and equal row norms. Across 340M and 1.1B models trained for 100B tokens, it prevented the diagnosed dead-neuron feedback and improved aggregate benchmarks over Muon, including a reported 9.1-point MMLU gain at 1.1B, with modest distributed overhead.",Aurora: A Leverage-Aware Spectral Optimizer
2026-06-25,2026,HiMuon,https://arxiv.org/abs/2606.27216,https://github.com/tang0389/himuon,"Hierarchical Muon applies the finite Newton-Schulz map independently to fixed-size matrix tiles, yielding a distinct locally coupled optimizer rather than an approximation that converges to full Muon as iterations increase. Its cost scales with tile size instead of the smaller full matrix dimension and exposes small batched GEMMs; diagnostics show larger tiles retain more global behavior, while single-seed Qwen3 experiments kept loss close to full Muon with lower optimizer and wall-clock time.",Hierarchical Muon: Tiled Newton-Schulz Updates for Efficient Muon Optimization
2026-06-25,2026,DMuon,https://arxiv.org/abs/2606.27153,https://github.com/X-Square-Robot/dmuon,"DMuon preserves exact Muon while assigning each matrix and its optimizer state to one rank, computing Newton-Schulz once, and hiding hierarchical reduction and publication behind training through lookahead overlap. Batched Gram-form orthogonalization, symmetry-aware kernels, autotuning, and measured-cost owner placement produced 1.48-3.01x end-to-end and 6.85-163x optimizer-step speedups on language and embodied-foundation workloads, bringing average end-to-end overhead to within 2% of AdamW without framework changes.",DMuon: Efficient Distributed Muon Training with Near-Adam Overhead
2026-06-24,2026,Tensorion,https://arxiv.org/abs/2606.25975,,"Tensorion generalizes Muon's matrix spectral steepest-descent view to higher-order tensors by introducing a tractable dual norm that upper-bounds the NP-hard tensor spectral norm; its linear minimization oracle selects an unfolding by nuclear norm and applies a matrix polar update, exactly recovering Muon at order two. An offline unfolding heuristic avoids repeated selection, and ResNet, Swin, and ViT experiments improved accuracy over SGD and Adam, though evaluation is confined to modest vision benchmarks.",Tensorion: A Tensor-Aware Generalization of the Muon Optimizer
2026-06-22,2026,AngularMuown,https://arxiv.org/abs/2606.23637,https://github.com/fhueb/angular-muown,"The analysis interprets Muown as Riemannian descent on a row-oblique manifold: growth of the unused ambient row norm acts as a gauge variable that implicitly decays angular steps at roughly inverse square-root time. AngularMuown instead fixes unit directions and explicitly schedules a width-transferable angular multiplier independently of Adam's radial scale; FineWeb-Edu dense and mixture-of-experts experiments lowered loss and showed more transferable learning rates, alongside a nonconvex stationarity guarantee.",Muown Implicitly Performs Angular Step-size Decay
2026-06-22,2026,Non-Euclidean SGD,https://arxiv.org/abs/2511.11466,,"This work unifies normalized SGD, SignSGD or Lion, and Muon as momentum trust-region methods over operator subspaces and norms, analyzing them with structured smoothness and noise matrices rather than generic Euclidean conversions. The resulting theory explains when Muon benefits from high-rank solutions but low-rank curvature or noise, and shows extrapolation and momentum variance reduction can match one-sided Shampoo or AdaGrad rates in convex settings; it is a theoretical contribution without empirical validation.",Non-Euclidean SGD for Structured Optimization: Unified Analysis and Improved Rates
2026-06-19,2026,Inexact Muon LMO,https://arxiv.org/abs/2606.21581,,"The paper removes a fragile assumption in prior inexact-linear-oracle analyses of Muon-type methods: the smallest positive singular value of the rescaled momentum need not remain bounded away from zero. By replacing proximity to a nonunique polar factor with objective-alignment and update-size conditions, and treating low-momentum layers separately, it derives stochastic nonconvex, deterministic PL, and star-convex weight-decay convergence under layer-wise generalized smoothness, with explicit dependence on solver thresholds, precision, and iteration count.",Convergence Analysis of Muon-type Methods with Inexact LMO in the Degenerate Case
2026-06-19,2026,Muon River-Valley Perspective,https://arxiv.org/abs/2606.21514,,"In a mixed-spiked matrix-sensing model, the paper casts optimization as following an informative river through nuisance curvature and shows why Muon's scale-free spectral step travels quickly early but overshoots and oscillates near the river bottom after discarding residual magnitude. Extensions to nonconvex spectral rivers plus MNIST and controlled 250M-token language-model runs support switching from Muon to AdamW or gradient descent for late refinement, which improves stability and final loss without claiming universal superiority.",Towards Understanding the Power and Limits of the Muon Optimizer: A River-Valley Perspective
2026-06-16,2026,MGUP,https://arxiv.org/abs/2606.17526,https://github.com/MaeChd/MGUP,"MGUP ranks coordinates by update-gradient alignment, amplifies a fixed top fraction, and gives the remainder a smaller nonzero step, unlike cautious masking schemes that discard misaligned coordinates; the rule plugs into AdamW, Lion, and Muon. It improves the underlying optimizers across masked-autoencoder training, language-model pretraining, and GLUE or GSM8K fine-tuning, while its near-optimal stochastic nonconvex convergence proof currently covers only AdamW without weight decay, leaving Lion and Muon theory open.",MGUP: A Momentum-Gradient Alignment Update Policy for Stochastic Optimization
