date,year,paper,paper_url,relation,summary,source_title
2026-08-06,2026,SG-TULA,https://arxiv.org/abs/2608.06283,weak,"SG-TULA handles nonsmooth, superlinearly growing, nonconvex potentials with a tamed subgradient Langevin step and proves non-asymptotic Wasserstein and excess-risk bounds. Its boosted coordinate-wise variant is a substantive tuned Muon baseline comparison: on depth-12 nanochat it reaches 0.8163 validation bits per byte versus Muon's 0.8199, while a second setting reaches CORE 0.1715 versus 0.1706; at depth 24 Muon leads 0.7067/0.2637 versus 0.7133/0.2574. Muon is neither modified nor analyzed as the proposed method, and the comparison disables several Muon recipe plug-ins, uses one configuration per scale, and has no derived scaling law for SG-TULA.",The Tamed Subgradient Unadjusted Langevin Algorithm beyond Convexity
2026-08-05,2026,Gauge-Equivariant Optimizer Analysis,https://arxiv.org/abs/2608.05136,weak,"This work treats optimizer gauge equivariance as a prerequisite for transferring gradient flow's low-rank bias through factorizations: gradient descent, momentum, shared-scalar Adam, Muon, and Shampoo satisfy it, whereas coordinate-wise Adam and RMSProp do not. A spectral-tail phase diagram further shows why equal-rate Muon can recover exactly low-rank targets yet lose its advantage as tail energy grows; attention twins stay gauge-equivalent under Muon but Adam produces head invariants 56% apart. Muon is one member of the optimizer taxonomy rather than the paper's proposed method, and the real-data generalization gains are reported for gradient descent rather than Muon.","The Loss Does Not See the Basis, but Adam Does"
2026-07-21,2026,SkewAdam,https://arxiv.org/abs/2607.19058,weak,"SkewAdam allocates optimizer state by MoE role, keeping momentum plus factored variance for the dense backbone, factored variance alone for experts, and exact variance for the router. In an identical-initialization 6.78B-parameter MoE comparison, it reaches validation perplexity 108.4 at 31.3 GB peak memory and 5,000 tokens/s versus Muon's 120.2, 57.6 GB, and 3,409 tokens/s; Muon also shows a late router-balance excursion. Muon is a substantive controlled baseline rather than the proposed method, while its result is one untuned run on a shallow two-block, 82M-token stress test.",Where Should Optimizer State Live? Tiered State Allocation for Memory-Efficient Mixture-of-Experts Training
2026-07-20,2026,Mobius Learning,https://arxiv.org/abs/2607.17843,weak,"Mobius Learning assigns four workers different cyclic shifts of Transformer block-group order so each group learns both shallow and deep roles while each worker stores only one group. On a 124M modded GPT-2 trained for 2.5B FineWeb tokens, fixed-Muon runs beat matched ordered-loop baselines at 6, 10, and 15 passes but lose at 1 and 2; Muon is a shared training-recipe dependency, not ablated, modified, or theoretically analyzed. Evidence is a preliminary four-worker, single-scale study with no optimizer comparison, multi-seed uncertainty, or larger-scale validation.",Mobius Learning: Cyclic Depth Folding in Transformers
2026-07-08,2026,Linear Attention Muon Comparison,https://arxiv.org/abs/2607.07953,weak,"Unifying softmax and four DeltaNet-family mixers as recurrent memories, this study maps loss-throughput trade-offs and introduces cross-layer value routing, which modestly improves DeltaNet variants while error-residual routing does not. In the 350M/15B-token single-run sweep, hybrid Kimi Delta Attention with Muon reaches the best loss, 2.273, and Muon improves every matched architecture; Muon is therefore an evaluation variable, not the architectural contribution, and no inference-speed or seed-averaged evidence is provided.","Linear Attention Architectures: Mechanisms, Trade-offs, and Cross-Layer Routing"
2026-07-08,2026,Optimizer Calculus,https://arxiv.org/abs/2607.07206,weak,"This paper builds a causal optimizer-interaction calculus separating pathwise state realization, Möbius pure effects, and what factorial designs can identify, with a readout-transfer theorem and exact Gaussian inference/design results. A 65-dimensional convex digits experiment verifies curvature identities to 4.21e-11, but neural audits do not test the general nonconvex law; Muon-style and GNG-Muon are merely response-class examples, explicitly not official implementations or performance evidence.",Geometric--Nongeometric Optimizer Calculus: A Modular Language for Reachable Gradient Methods
2026-07-07,2026,Efficient Long-Horizon Learned Optimization,https://arxiv.org/abs/2607.06772,weak,"ELO reallocates learned-optimizer meta-training toward failure-prone late unrolls with a resume buffer, while progressively fading separate expert supervision for update direction and magnitude. Meta-trained in under seven H100-hours, ELO-Celo2 beats AdamW on ImageNet and GPT-2, slightly exceeds Muon at 124M and matches it at 350M; Muon serves both as the tuned matrix baseline and Celo2’s best expert, while evaluation stops at 350M and covers only dense models.",Efficient Long-Horizon Learning for Learned Optimization
2026-07-05,2026,Full-Stack FP4,https://arxiv.org/abs/2607.04422,weak,"Full-Stack FP4 combines LoRA-SVD projection decomposition, transformed AdamW second-moment storage, mixed-precision attention, and shape-tuned NVFP4 Newton-Schulz iterations for Root, a Muon-derived matrix optimizer. Fake-quantized 3B/64B-token training stays within 1.47% loss of BF16 Root+AdamW, while LoRA-SVD cuts the linear-only gap from 1.40% to 0.61%; Muon is an optimizer component rather than the main contribution, and native-kernel speed, larger scales, and longer horizons remain untested.","Full-Stack FP4: Stable LLM Pretraining with Quantized Projections, Optimizers, and Attention"
2026-07-04,2026,OmniOpt,https://arxiv.org/abs/2607.04033,weak,"OmniOpt organizes more than 100 optimizers with a five-stage update pipeline and LMO-based geometry, then benchmarks 24 methods from 60M to 1B across C4 and 32K FineWeb-Edu while tracking quality, runtime, memory, stability, and learning-rate robustness. Muon is a Tier-I matrix method and a substantive experimental subject: at 1B C4 it reaches perplexity 13.72 with 2.495 GB optimizer state but 379 ms per step, and dedicated ablations improve that perplexity to 13.58 by combining symmetric LR scaling with post-NS Nesterov. The work is a broad survey and benchmark rather than a new Muon optimizer, and its conclusions remain protocol-, architecture-, and scale-dependent.","OmniOpt: Taxonomy, Geometry, and Benchmarking of Modern Optimizers"
2026-07-03,2026,Adam Convergence Revisited,https://arxiv.org/abs/2607.03519,weak,"Using a three-periodic bounded-slope linear sequence, this paper proves projected Adam can sustain nonzero average regret for every β1,β2 in [0,1), removing the earlier β1<sqrt(β2) restriction; an i.i.d. version and several variants follow. Muon appears only as a counterexample extension: in one dimension its polar update is signed momentum, which converges to the wrong boundary; the construction concerns projected online convex optimization, not empirical neural training.","On the Convergence of Adam, Revisited"
2026-07-02,2026,Orthogonalized Recurrent-Memory Read,https://arxiv.org/abs/2607.19390,weak,"This study applies the same five-step Newton-Schulz primitive used by Muon to an mLSTM memory read, not to parameter optimization, and finds that it reconditions training rather than improving stored memory. Across 8-16 seeds per cell on synthetic noisy recall, the orthogonalized read raises escape hazard about sixfold; exact recursive least squares reproduces the effect, inference-time swaps rescue no failed models, and annealing the read away leaves a stock mLSTM at full accuracy. Released code and per-seed traces make the mechanism auditable, but evidence is limited to a 78K-parameter single-block model and does not establish transfer to multilayer language modeling.",The Orthogonalized Read Is a Removable Training Scaffold for Recurrent Memory
2026-07-02,2026,Beyond Adam MLIP Optimizers,https://arxiv.org/abs/2607.02499,weak,"Benchmarking matrix-structured optimizers for NequIP water and Allegro CDP potentials, this study finds SOAP the most robust choice and SOAP-Muon strongest in selected sparse-force regimes, including stable CDP dynamics with 5% force labels. SOAP reaches AdamW’s force accuracy 4.9–5.8 times faster; Muon is a primary baseline and SOAP-Muon component, improving CDP but underperforming AdamW on water, so conclusions from only two systems and tuned hybrid settings should not be generalized.","Beyond Adam: SOAP and Muon for Faster, Label-Efficient Training of Machine Learning Interatomic Potentials"
2026-06-30,2026,Evil Spectra,https://arxiv.org/abs/2606.31591,weak,"Across LoRA fine-tuning sweeps, optimizer choice changes emergent-misalignment rates sevenfold: Muon is best at 5.3% versus Lion’s 37%, while model scale contributes little. Muon is a comparison optimizer and spectral reference, producing much flatter adapters (stable rank 17.1 versus about 2.4 for Adam); a matching spectral regularizer raises Adam alignment from 65.8 to 72.4, but the mechanism is tested only on Qwen3-8B LoRA with optimizer-specific recipes and a GPT-4o judge.",Evil Spectra: How Optimisers can Amplify or Suppress Emergent Misalignment
2026-06-29,2026,Gradient Smoothing,https://arxiv.org/abs/2606.30813,weak,"Depth-wise Gradient Augmentation transforms block updates across repeated layers; its Window Smoothing instance locally averages neighboring updates, contracts depth-wise variation, and improves residual-alignment bounds. It raises reasoning pass@1 from 55.45% to 57.60%, ViT accuracy from 74.56% to 75.62%, and diffusion FID from 4.01 to 3.74 while improving 1.38B/2.4B pretraining; Muon is only a compatible base-optimizer example—the language runs use NorMuon/AdamW—and excessive smoothing may erase layer-specific information.",Gradient Smoothing: Coupling Layer-wise Updates for Improved Optimization
2026-06-29,2026,One-Step Gradient Delay,https://arxiv.org/abs/2606.30634,weak,"Studying PipeDream-2BW’s fixed one-step gradient delay, this paper shows staleness damage is optimizer-dependent and proposes update-level Error Feedback, applying twice the newest available optimizer update minus its predecessor. Muon is the central robust instance and theoretical LMO example: on a 10B MoE trained for 200B tokens, Error Feedback closes asynchronous loss from 1.911 to the synchronous 1.906; the momentum mechanism remains unexplained and broad hyperparameter grids are limited to 135M.",One-Step Gradient Delay is Not a Barrier for Large-Scale Asynchronous Pipeline Parallel LLM Pretraining
